,,전세계 품목 수출액,,,,,중국 수출입액 ->,854232,,854231,,854239,,854290,,854233,,,854232, ,854231, ,854239, ,854290, ,854233,
천불,전세계수출액,854232,854231,854239,854290,854233,중국전체산업수출금액,exports,imports,exports,imports,exports,imports,exports,imports,exports,imports,한국전체산업수출금액,exports,imports,exports,imports,exports,imports,exports,imports,exports,imports
2010,15094576208,77604480,137888489,152596036,20528672,5876640,1578444201,8649711,34942029,15426881,86053448,4591502,30886501,363522,982794,576652,5144926,466383762,21607809,5397427,14543061,12820086,1513059,5437892,219053,69877,21509,110991
2011,18144237302,75781321,155320287,156614100,17561859,6014381,1899314102,10184176,35120361,16965793,98088893,4637305,31336286,340138,933362,772880,5663248,555213656,17829204,13556908,19506062,6323470,2081188,5366666,225931,30629,22375,92171
2012,18399428101,74920781,167357104,163307791,15726886,9863131,2050109239,14374599,38009040,27056528,108353480,7507618,36604683,310987,816092,4495569,9183882,547869792,16611973,5091921,21228826,14406130,3275183,5784073,212004,53135,18592,86292
2013,18858157190,89528741,180491583,182066940,19361498,20543160,2210771856,17692084,46164514,37458193,115319799,17754192,50129747,316904,856242,14659409,19607941,559632434,21963589,5718220,20702546,14858441,4194461,7074441,213634,69480,43815,87954
2014,18858896940,98330141,173510822,193674741,17230372,8963876,2343222126,17566232,54254915,26922046,105226923,14007051,49134247,347750,908494,2370256,8995714,572664607,28849464,5908470,18514978,16416708,3873914,7436939,241482,71541,63985,91470
2015,16412232126,100283436,176914357,191031641,13107322,10398062,2280437122,21566607,61462689,30661940,108220599,14391300,49437168,339489,801580,3164898,11167827,526756503,28856914,7549455,19887734,18938170,3173773,4912033,210445,85151,44540,123646
2016,15917742902,111123796,179487717,194071834,12392274,11477711,2134872317,23241587,63877413,26760149,104900300,9410901,48698284,272441,687662,2639676,10391154,495425940,31612307,7505162,17065772,17762584,3340593,4471622,223042,54767,38539,124937
2017,17561817213,166582763,197366555,216183957,11910739,12225824,2279162136,29621004,88270996,27198345,111363038,7967090,48614337,327168,774668,1394123,9536688,573694421,60506908,10916154,21359846,17430919,3926164,4781145,263197,44093,47036,214307
2018,19325966570,220814710,225023830,232685719,11731605,14062224,2488544077,43966741,122972378,29567607,127430722,9251060,51691958,403513,855363,1477668,9784932,604859657,83048246,13160548,22095020,16366050,4294406,4692585,287970,44125,50734,259552
2019,18752787083,189475342,240860329,244003983,12253131,15400491,2497948323,52381551,94696846,35809528,143736462,11255178,57400951,526429,866138,2130275,9696334,542232610,53161754,14970276,20677631,15718439,4901266,4752862,254192,39214,81688,222446
2020,17486527426,199487061,273646871,276397651,15507575,18838490,2596880099,55786295,95224179,40198944,171410280,17722136,70980888,493252,806680,2788594,12348279,512498038,52358422,15644386,23516670,18627208,6622734,5684993,280823,43014,105706,277547
2021,21953101352,269635315,364733441,351995249,19047951,23159620,3367037165,75763400,121972234,50991287,203390671,22932893,91571374,1527241,1189684,4086996,15602598,644400368,69177215,18828562,30405224,22700472,9101919,8322714,401285,79175,211039,408853
